	Open	High	Low	Close	Volume	TradingDate	Code
2276	8410.0	8540.0	8380.0	8410.0	451050	2017-03-08	LSS
2277	8380.0	8440.0	8150.0	8380.0	490340	2017-03-09	LSS
2278	8410.0	8540.0	8280.0	8470.0	427050	2017-03-10	LSS
2279	8410.0	8470.0	8380.0	8440.0	150680	2017-03-13	LSS
2280	8470.0	8470.0	8340.0	8380.0	211730	2017-03-14	LSS
2281	8380.0	8380.0	8250.0	8310.0	234400	2017-03-15	LSS
2282	8380.0	8470.0	8310.0	8410.0	257040	2017-03-16	LSS
2283	8440.0	8470.0	8340.0	8410.0	272380	2017-03-17	LSS
2284	8440.0	8980.0	8410.0	8980.0	1408900	2017-03-20	LSS
2285	9110.0	9270.0	8920.0	9110.0	1327820	2017-03-21	LSS
2286	9110.0	9110.0	8730.0	8790.0	561060	2017-03-22	LSS
2287	8690.0	8890.0	8540.0	8730.0	756550	2017-03-23	LSS
2288	8790.0	8850.0	8660.0	8820.0	331560	2017-03-24	LSS
2289	8850.0	8890.0	8660.0	8660.0	347880	2017-03-27	LSS
2290	8660.0	8730.0	8470.0	8570.0	334250	2017-03-28	LSS
2291	8570.0	8630.0	8470.0	8500.0	175480	2017-03-29	LSS
2292	8470.0	8570.0	8440.0	8470.0	299950	2017-03-30	LSS
2293	8410.0	8470.0	8340.0	8380.0	343520	2017-03-31	LSS
2294	8410.0	8660.0	8380.0	8540.0	303840	2017-04-03	LSS
2295	8600.0	8600.0	8440.0	8500.0	208730	2017-04-04	LSS
2296	8500.0	8500.0	8280.0	8470.0	474010	2017-04-05	LSS
2297	8470.0	8470.0	8310.0	8380.0	281100	2017-04-07	LSS
2298	8380.0	8440.0	8280.0	8410.0	340180	2017-04-10	LSS
2299	8340.0	8440.0	8280.0	8280.0	260750	2017-04-11	LSS
2300	8280.0	8440.0	8250.0	8280.0	426910	2017-04-12	LSS
2301	8280.0	8380.0	8280.0	8310.0	209580	2017-04-13	LSS
2302	8340.0	8340.0	8030.0	8060.0	238630	2017-04-14	LSS
2303	8090.0	8220.0	7710.0	7710.0	262240	2017-04-17	LSS
2304	7770.0	7930.0	7640.0	7930.0	354140	2017-04-18	LSS
2305	7960.0	8120.0	7960.0	8030.0	308840	2017-04-19	LSS
2306	8090.0	8090.0	7930.0	7930.0	132830	2017-04-20	LSS
2307	8060.0	8060.0	7930.0	8060.0	207280	2017-04-21	LSS
2308	8090.0	8090.0	7960.0	7960.0	127230	2017-04-24	LSS
2309	7960.0	8120.0	7900.0	8030.0	106290	2017-04-25	LSS
